token_id,speaker,intonation,target_utterance,sentence_type_to_supply
S10T1_intonation_000,S10,Falling,where is the wolf,
S10T1_intonation_001,S10,Rising,have you really seen a wolf,
S10T1_intonation_002,S10,Falling,was there a wolf or not,
S10T1_intonation_003,S10,Falling,you're fooling us again aren't you,
S11T1_intonation_000,S11,Falling,where is the wolf,
S11T1_intonation_001,S11,Rising,have you really seen a wolf,
S11T1_intonation_002,S11,Rise & Fall,was there a wolf or not,
S11T1_intonation_003,S11,Falling,you are f fooling us again are aren't you,
S11T1_intonation_004,S11,Falling,go away and don't bother us again,
S11T1_intonation_005,S11,Falling,the wolf had a feast,
S12T1_intonation_000,S12,Falling,where is the wolf,
S12T1_intonation_001,S12,Rising,have you really seen a wolf,
S12T1_intonation_002,S12,Rise & Fall,was there a wolf or not,
S12T1_intonation_003,S12,Falling,you're fooling us again aren't you,
S12T1_intonation_004,S12,Falling,go away and don't bother us again,
S12T1_intonation_005,S12,Falling,the wolf had a feast,
S13T1_intonation_000,S13,Falling,where is the wolf,
S13T1_intonation_001,S13,Rising,have you really seen a wolf,
S13T1_intonation_002,S13,Rise & Fall,was there a wolf or not,
S13T1_intonation_003,S13,Falling,you are fooling us again aren't you,
S13T1_intonation_004,S13,Falling,the wolf had a feast,
S14T1_intonation_000,S14,Falling,where is the wolf,
S14T1_intonation_001,S14,Rising,have you really seen a wolf,
S14T1_intonation_002,S14,Rise & Fall,was there a wolf or not,
S14T1_intonation_003,S14,Falling,you are fooling us again aren't you,
S14T1_intonation_004,S14,Falling,go away and don't bother us again,
S14T1_intonation_005,S14,Falling,the wolf had a feast,
S15T1_intonation_000,S15,Falling,where is the wolf,
S15T1_intonation_001,S15,Rising,have you really seen a wolf,
S15T1_intonation_002,S15,Rise & Fall,was there a wolf or not,
S15T1_intonation_003,S15,Falling,go away and don't bother us again,
S15T1_intonation_004,S15,Falling,the wolf had a feast,
S16T1_intonation_000,S16,Falling,where is the wolf,
S16T1_intonation_001,S16,Rising,have you really seen a wolf,
S16T1_intonation_002,S16,Rise & Fall,was there a wolf or not,
S16T1_intonation_003,S16,Falling,you are fooling us again aren't you,
S16T1_intonation_004,S16,Falling,go away and don't bother us again,
S16T1_intonation_005,S16,Falling,the wolf had a feast,
S17T1_intonation_000,S17,Falling,where is the wolf,
S17T1_intonation_001,S17,Rising,have you really seen a wolf,
S17T1_intonation_002,S17,Rise & Fall,was there wolf or not,
S17T1_intonation_003,S17,Falling,you are fooling us again aren't you,
S17T1_intonation_004,S17,Falling,go away and don't bother us again,
S18T1_intonation_000,S18,Falling,where is the wolf,
S18T1_intonation_001,S18,Rising,have you really seen a wolf,
S18T1_intonation_002,S18,Rise & Fall,was there a wolf or not,
S18T1_intonation_003,S18,Falling,you are fooling us again aren't you,
S18T1_intonation_004,S18,Falling,go away and don't bother us again,
S18T1_intonation_005,S18,Falling,the wolf had a feast,
S19T1_intonation_000,S19,Falling,where is the wolf,
S19T1_intonation_001,S19,Rising,have you really seen a wolf,
S19T1_intonation_002,S19,Rise & Fall,was there a wolf or not,
S19T1_intonation_003,S19,Falling,you are fooling us again aren't you,
S19T1_intonation_004,S19,Falling,go away and don't bother us again,
S19T1_intonation_005,S19,Falling,the wolf had a feast,
S1T1_intonation_000,S1,Falling,where is the wolf,
S1T1_intonation_001,S1,Rising,have you really seen a wolf,
S1T1_intonation_002,S1,Rise & Fall,was there a wolf or not,
S1T1_intonation_003,S1,Falling,you are fooling us again are not you,
S1T1_intonation_004,S1,Falling,go away and do bother us again,
S1T1_intonation_005,S1,Falling,the wolf had a feast,
S20T1_intonation_000,S20,Falling,where is the wolf,
S20T1_intonation_001,S20,Falling,you are fooling us again aren't you,
S20T1_intonation_002,S20,Falling,go away and don't bother us again,
S20T1_intonation_003,S20,Falling,the wolf had a feast,
S21T1_intonation_000,S21,Falling,where is the wolf,
S21T1_intonation_001,S21,Rising,have you really seen a wolf,
S21T1_intonation_002,S21,Rise & Fall,was there wolf or not,
S21T1_intonation_003,S21,Falling,you are fooling us again aren't you,
S21T1_intonation_004,S21,Falling,go away and don't bother us again,
S21T1_intonation_005,S21,Falling,the wolf had a feast,
S22T1_intonation_000,S22,Falling,where is the wolf,
S22T1_intonation_001,S22,Rising,have you really seen a wolf,
S22T1_intonation_002,S22,Rise & Fall,was there a wolf or not,
S22T1_intonation_003,S22,Falling,you are fooling us again aren't you,
S22T1_intonation_004,S22,Falling,go away and don't bother us again,
S22T1_intonation_005,S22,Falling,the wolf had a feast,
S23T1_intonation_000,S23,Falling,where is the wolf,
S23T1_intonation_001,S23,Rising,have you really seen a wolf,
S23T1_intonation_002,S23,Rise & Fall,was there a wolf or not,
S23T1_intonation_003,S23,Falling,you are fooling us again are not you,
